Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"+"	"HEADER - HEADER-FEMALE-2.54_1X8 ANGELO"	"0.13mm"	"45.97mm"	"6.48mm"	"45.97mm"	"9.02mm"	"45.97mm"	"T"	"180"	"OUT"
"C1"	"C0603"	"8.38mm"	"50.93mm"	"8.38mm"	"50.93mm"	"8.38mm"	"51.63mm"	"T"	"270"	"0.1u"
"D"	"HEADER - HEADER-FEMALE-2.54_1X3"	"-16.13mm"	"66.42mm"	"-13.59mm"	"66.42mm"	"-13.59mm"	"66.42mm"	"T"	"270"	"DIST_S 2.54 1X3"
"FFC/FPC"	"FPC-SMD_8P-P1.00_FH12S-8S-1SH-55"	"0.25mm"	"42.04mm"	"0.25mm"	"42.04mm"	"-3.25mm"	"43.54mm"	"T"	"0"	"FH12-08S-1SH"
"MUX"	"SSOP-24_L8.1-W5.3-P0.65-LS7.8-BL"	"0mm"	"51.82mm"	"0mm"	"51.82mm"	"-3.56mm"	"55.39mm"	"T"	"270"	"SSOP-24_L8.1-W5.3-P0.65-LS7.8-BL"
"R1"	"R0603"	"-66.42mm"	"53.34mm"	"-66.42mm"	"53.34mm"	"-65.67mm"	"53.34mm"	"T"	"180"	"47kΩ"
"R2"	"R0603"	"-66.42mm"	"51.56mm"	"-66.42mm"	"51.56mm"	"-65.67mm"	"51.56mm"	"T"	"180"	"220Ω"
"R3"	"R0603"	"-57.53mm"	"55.12mm"	"-57.53mm"	"55.12mm"	"-56.78mm"	"55.12mm"	"T"	"180"	"47kΩ"
"R4"	"R0603"	"-57.53mm"	"53.34mm"	"-57.53mm"	"53.34mm"	"-56.78mm"	"53.34mm"	"T"	"180"	"220Ω"
"R5"	"R0603"	"-48.64mm"	"56.9mm"	"-48.64mm"	"56.9mm"	"-47.89mm"	"56.9mm"	"T"	"180"	"47kΩ"
"R6"	"R0603"	"-48.64mm"	"55.12mm"	"-48.64mm"	"55.12mm"	"-47.89mm"	"55.12mm"	"T"	"180"	"220Ω"
"R7"	"R0603"	"-39.88mm"	"58.67mm"	"-39.88mm"	"58.67mm"	"-39.12mm"	"58.67mm"	"T"	"180"	"47kΩ"
"R8"	"R0603"	"-39.88mm"	"56.9mm"	"-39.88mm"	"56.9mm"	"-39.12mm"	"56.9mm"	"T"	"180"	"220Ω"
"R9"	"R0603"	"-30.99mm"	"59.56mm"	"-30.99mm"	"59.56mm"	"-30.23mm"	"59.56mm"	"T"	"180"	"47kΩ"
"R10"	"R0603"	"-30.99mm"	"57.79mm"	"-30.99mm"	"57.79mm"	"-30.23mm"	"57.79mm"	"T"	"180"	"220Ω"
"R11"	"R0603"	"-22.1mm"	"60.45mm"	"-22.1mm"	"60.45mm"	"-21.34mm"	"60.45mm"	"T"	"180"	"47kΩ"
"R12"	"R0603"	"-22.1mm"	"58.67mm"	"-22.1mm"	"58.67mm"	"-21.34mm"	"58.67mm"	"T"	"180"	"220Ω"
"R13"	"R0603"	"-13.21mm"	"60.45mm"	"-13.21mm"	"60.45mm"	"-12.45mm"	"60.45mm"	"T"	"180"	"47kΩ"
"R14"	"R0603"	"-13.21mm"	"58.67mm"	"-13.21mm"	"58.67mm"	"-12.45mm"	"58.67mm"	"T"	"180"	"220Ω"
"R15"	"R0603"	"-4.32mm"	"60.45mm"	"-4.32mm"	"60.45mm"	"-3.56mm"	"60.45mm"	"T"	"180"	"47kΩ"
"R16"	"R0603"	"-4.32mm"	"58.67mm"	"-4.32mm"	"58.67mm"	"-3.56mm"	"58.67mm"	"T"	"180"	"220Ω"
"R17"	"R0603"	"4.57mm"	"60.45mm"	"4.57mm"	"60.45mm"	"5.33mm"	"60.45mm"	"T"	"180"	"47kΩ"
"R18"	"R0603"	"4.57mm"	"58.67mm"	"4.57mm"	"58.67mm"	"5.33mm"	"58.67mm"	"T"	"180"	"220Ω"
"R19"	"R0603"	"13.46mm"	"60.45mm"	"13.46mm"	"60.45mm"	"14.22mm"	"60.45mm"	"T"	"180"	"47kΩ"
"R20"	"R0603"	"13.46mm"	"58.67mm"	"13.46mm"	"58.67mm"	"14.22mm"	"58.67mm"	"T"	"180"	"220Ω"
"R21"	"R0603"	"22.35mm"	"60.45mm"	"22.35mm"	"60.45mm"	"23.11mm"	"60.45mm"	"T"	"180"	"47kΩ"
"R22"	"R0603"	"22.35mm"	"58.67mm"	"22.35mm"	"58.67mm"	"23.11mm"	"58.67mm"	"T"	"180"	"220Ω"
"R23"	"R0603"	"31.24mm"	"59.56mm"	"31.24mm"	"59.56mm"	"32mm"	"59.56mm"	"T"	"180"	"47kΩ"
"R24"	"R0603"	"31.24mm"	"57.79mm"	"31.24mm"	"57.79mm"	"32mm"	"57.79mm"	"T"	"180"	"220Ω"
"R25"	"R0603"	"40.13mm"	"58.67mm"	"40.13mm"	"58.67mm"	"40.89mm"	"58.67mm"	"T"	"180"	"47kΩ"
"R26"	"R0603"	"40.13mm"	"56.9mm"	"40.13mm"	"56.9mm"	"40.89mm"	"56.9mm"	"T"	"180"	"220Ω"
"R27"	"R0603"	"49.02mm"	"56.9mm"	"49.02mm"	"56.9mm"	"49.78mm"	"56.9mm"	"T"	"180"	"47kΩ"
"R28"	"R0603"	"49.02mm"	"55.12mm"	"49.02mm"	"55.12mm"	"49.78mm"	"55.12mm"	"T"	"180"	"220Ω"
"R29"	"R0603"	"57.91mm"	"55.12mm"	"57.91mm"	"55.12mm"	"58.67mm"	"55.12mm"	"T"	"180"	"47kΩ"
"R30"	"R0603"	"57.91mm"	"53.34mm"	"57.91mm"	"53.34mm"	"58.67mm"	"53.34mm"	"T"	"180"	"220Ω"
"R31"	"R0603"	"66.8mm"	"53.34mm"	"66.8mm"	"53.34mm"	"67.56mm"	"53.34mm"	"T"	"180"	"47kΩ"
"R32"	"R0603"	"66.8mm"	"51.56mm"	"66.8mm"	"51.56mm"	"67.56mm"	"51.56mm"	"T"	"180"	"220Ω"
"S1"	"OPTO-SMD_QRE1113GR"	"-66.42mm"	"52.45mm"	"-66.42mm"	"52.45mm"	"-64.42mm"	"51.55mm"	"B"	"180"	"QRE1113GR"
"S2"	"OPTO-SMD_QRE1113GR"	"-57.53mm"	"54.23mm"	"-57.53mm"	"54.23mm"	"-55.53mm"	"53.33mm"	"B"	"180"	"QRE1113GR"
"S3"	"OPTO-SMD_QRE1113GR"	"-48.64mm"	"56.01mm"	"-48.64mm"	"56.01mm"	"-46.64mm"	"55.11mm"	"B"	"180"	"QRE1113GR"
"S4"	"OPTO-SMD_QRE1113GR"	"-39.88mm"	"57.79mm"	"-39.88mm"	"57.79mm"	"-37.88mm"	"56.89mm"	"B"	"180"	"QRE1113GR"
"S5"	"OPTO-SMD_QRE1113GR"	"-30.99mm"	"58.67mm"	"-30.99mm"	"58.67mm"	"-28.99mm"	"57.77mm"	"B"	"180"	"QRE1113GR"
"S6"	"OPTO-SMD_QRE1113GR"	"-22.1mm"	"59.56mm"	"-22.1mm"	"59.56mm"	"-20.1mm"	"58.66mm"	"B"	"180"	"QRE1113GR"
"S7"	"OPTO-SMD_QRE1113GR"	"-13.21mm"	"59.56mm"	"-13.21mm"	"59.56mm"	"-11.21mm"	"58.66mm"	"B"	"180"	"QRE1113GR"
"S8"	"OPTO-SMD_QRE1113GR"	"-4.32mm"	"59.56mm"	"-4.32mm"	"59.56mm"	"-2.32mm"	"58.66mm"	"B"	"180"	"QRE1113GR"
"S9"	"OPTO-SMD_QRE1113GR"	"4.57mm"	"59.56mm"	"4.57mm"	"59.56mm"	"6.57mm"	"58.66mm"	"B"	"180"	"QRE1113GR"
"S10"	"OPTO-SMD_QRE1113GR"	"13.46mm"	"59.56mm"	"13.46mm"	"59.56mm"	"15.46mm"	"58.66mm"	"B"	"180"	"QRE1113GR"
"S11"	"OPTO-SMD_QRE1113GR"	"22.35mm"	"59.56mm"	"22.35mm"	"59.56mm"	"24.35mm"	"58.66mm"	"B"	"180"	"QRE1113GR"
